"id_pago","metodo","monto","fecha_pago"
"1","Transferencia Bancaria","16.08","2024-06-06"
"2","Tarjeta de Crédito","46.56","2024-08-25"
"3","Transferencia Bancaria","334.79","2025-01-24"
"4","Transferencia Bancaria","124.57","2024-10-04"
"5","Tarjeta de Crédito","272.60","2025-02-20"
"6","Tarjeta de Débito","482.12","2024-08-21"
"7","Transferencia Bancaria","139.87","2024-08-12"
"8","Transferencia Bancaria","403.48","2024-08-02"
"9","Tarjeta de Crédito","24.87","2024-10-12"
"10","Tarjeta de Débito","218.38","2024-12-23"
"11","Efectivo","296.31","2024-05-25"
"12","Transferencia Bancaria","281.69","2024-09-16"
"13","Tarjeta de Crédito","392.91","2024-10-19"
"14","Transferencia Bancaria","417.55","2025-01-30"
"15","Tarjeta de Crédito","61.38","2024-12-30"
"16","Transferencia Bancaria","439.40","2025-03-09"
"17","Transferencia Bancaria","35.90","2024-06-04"
"18","Tarjeta de Débito","77.69","2024-12-19"
"19","Transferencia Bancaria","414.33","2025-01-29"
"20","Transferencia Bancaria","359.55","2024-07-02"
"21","Transferencia Bancaria","10.77","2024-09-01"
"22","Efectivo","359.14","2024-05-28"
"23","Tarjeta de Crédito","473.85","2024-11-17"
"24","Transferencia Bancaria","293.78","2024-11-08"
"25","Efectivo","227.05","2024-05-09"
"26","Tarjeta de Débito","454.03","2025-02-07"
"27","Tarjeta de Débito","233.88","2024-08-16"
"28","Tarjeta de Crédito","497.49","2024-08-05"
"29","Tarjeta de Crédito","494.66","2024-11-07"
"30","Tarjeta de Débito","52.20","2024-04-24"
"31","Efectivo","56.01","2025-03-06"
"32","Transferencia Bancaria","422.15","2025-01-01"
"33","Tarjeta de Crédito","323.01","2024-06-03"
"34","Efectivo","178.72","2025-01-03"
"35","Transferencia Bancaria","114.27","2024-07-01"
"36","Tarjeta de Crédito","83.70","2025-01-31"
"37","Tarjeta de Crédito","441.24","2024-05-22"
"38","Efectivo","307.62","2024-09-08"
"39","Transferencia Bancaria","53.18","2024-04-16"
"40","Tarjeta de Crédito","24.69","2025-03-15"
"41","Tarjeta de Crédito","461.67","2024-11-04"
"42","Tarjeta de Crédito","215.55","2024-08-20"
"43","Transferencia Bancaria","21.29","2024-12-31"
"44","Tarjeta de Crédito","77.61","2024-04-04"
"45","Efectivo","499.60","2025-01-30"
"46","Tarjeta de Débito","175.30","2025-01-14"
"47","Tarjeta de Débito","450.77","2025-02-12"
"48","Efectivo","321.56","2025-01-13"
"49","Tarjeta de Débito","430.33","2025-03-10"
"50","Transferencia Bancaria","498.87","2024-11-23"
"51","Tarjeta de Crédito","39.16","2025-01-23"
"52","Efectivo","369.26","2024-10-27"
"53","Tarjeta de Crédito","81.04","2024-06-27"
"54","Tarjeta de Débito","205.65","2025-02-14"
"55","Transferencia Bancaria","465.46","2024-05-24"
"56","Transferencia Bancaria","349.29","2025-01-28"
"57","Tarjeta de Débito","273.47","2025-02-10"
"58","Transferencia Bancaria","431.32","2024-12-05"
"59","Transferencia Bancaria","276.87","2024-11-14"
"60","Transferencia Bancaria","358.23","2024-06-22"
"61","Tarjeta de Débito","275.61","2024-09-10"
"62","Tarjeta de Crédito","47.96","2024-10-10"
"63","Tarjeta de Débito","113.93","2024-10-12"
"64","Transferencia Bancaria","238.04","2024-06-30"
"65","Tarjeta de Crédito","233.97","2024-07-06"
"66","Transferencia Bancaria","164.50","2024-12-08"
"67","Tarjeta de Crédito","284.32","2024-11-11"
"68","Efectivo","44.38","2025-03-19"
"69","Efectivo","427.34","2024-11-08"
"70","Tarjeta de Débito","249.52","2024-11-28"
"71","Efectivo","225.68","2024-04-21"
"72","Tarjeta de Crédito","473.13","2024-06-03"
"73","Efectivo","73.08","2024-04-03"
"74","Efectivo","323.46","2024-09-03"
"75","Tarjeta de Débito","446.79","2025-02-16"
"76","Tarjeta de Crédito","184.93","2024-07-18"
"77","Tarjeta de Crédito","116.92","2024-08-29"
"78","Efectivo","495.21","2024-07-10"
"79","Transferencia Bancaria","275.29","2025-01-12"
"80","Transferencia Bancaria","175.66","2024-09-03"
"81","Tarjeta de Crédito","412.57","2024-07-13"
"82","Tarjeta de Crédito","196.36","2025-03-02"
"83","Tarjeta de Crédito","104.94","2024-03-29"
"84","Tarjeta de Crédito","331.91","2024-09-27"
"85","Transferencia Bancaria","84.57","2024-11-08"
"86","Transferencia Bancaria","116.65","2024-05-01"
"87","Efectivo","21.37","2024-07-06"
"88","Tarjeta de Crédito","237.44","2024-07-05"
"89","Tarjeta de Crédito","129.48","2024-08-15"
"90","Tarjeta de Crédito","220.55","2025-02-20"
"91","Efectivo","366.12","2024-11-23"
"92","Transferencia Bancaria","478.47","2024-11-09"
"93","Efectivo","260.85","2024-12-18"
"94","Tarjeta de Débito","326.80","2024-06-01"
"95","Transferencia Bancaria","380.14","2024-08-23"
"96","Tarjeta de Débito","121.83","2024-09-07"
"97","Tarjeta de Débito","346.61","2024-07-08"
