"id_producto","nombre","id_categoria","marca","precio","stock","id_proveedor","fechaIngreso","tamano","SKU"
"1","Pelota de fútbol Adidas","4","Adidas","72.84","9","297","2025-02-09","unidad","f46f9970"
"2","Zapatillas Urbanas Hombre","3","Skechers","211.97","27","82","2024-10-23","par","a5636c3e"
"3","Refrigeradora Samsung 300L","5","Samsung","1908.00","72","301","2024-08-23","unidad","d314beef"
"4","Jean Mujer Skinny","3","Do Jeans","101.15","59","24","2025-01-24","unidad","e1a0e53c"
"5","Paracetamol 500mg x10","7","Genfar","2.87","41","471","2024-12-09","blister","d38546d6"
"6","Aceite de Motor Mobil 4L","10","Mobil","90.28","55","299","2025-03-04","litro","c73be81b"
"7","Crema Corporal Nivea 400ml","8","Nivea","18.29","76","131","2024-09-21","mililitro","b8c25e16"
"8","Muñeca Barbie Fashionista","9","Mattel","88.64","2","122","2025-03-14","unidad","ea92cb60"
"9","Zapatillas Urbanas Hombre","3","Skechers","248.99","97","972","2024-05-24","par","a131c37e"
"10","Filtro de aire Toyota","10","Toyota","53.15","23","729","2024-07-24","unidad","9873eac4"
"11","Aceite Primor 1L","2","Primor","9.55","62","999","2024-06-01","litro","357ded13"
"12","Silla ergonómica Home Collection","5","Home Collection","205.31","35","928","2024-10-21","unidad","ca57e3b7"
"13","Limpia parabrisas 500ml","10","3M","11.08","28","917","2025-03-15","mililitro","4bf7ed3c"
"14","Refrigeradora Samsung 300L","5","Samsung","1405.32","62","296","2024-11-29","unidad","ab64792f"
"15","Celular Samsung Galaxy A14","1","Samsung","836.25","15","92","2024-09-12","unidad","68f8c351"
"16","Audífonos JBL inalámbricos","6","JBL","184.15","50","209","2024-11-27","unidad","a2af38b0"
"17","Casaca Hombre Pluma","3","Basement","179.21","81","63","2024-06-09","unidad","e1488ba9"
"18","Aceite de Motor Mobil 4L","10","Mobil","100.65","34","145","2024-05-26","litro","fb788df9"
"19","Arroz Costeño 5kg","2","Costeño","28.04","89","864","2024-07-05","kg","37693638"
"20","Cocina Mabe 4 hornillas","5","Mabe","990.74","91","659","2024-07-15","unidad","2128e154"
"21","Shampoo Sedal 650ml","8","Sedal","12.96","61","209","2024-05-20","mililitro","0617b639"
"22","Pelota de fútbol Adidas","4","Adidas","87.67","57","507","2025-04-11","unidad","52e97267"
"23","Cocina Mabe 4 hornillas","5","Mabe","1141.87","59","627","2025-02-27","unidad","496f7f70"
"24","Tablet Samsung Galaxy Tab A8","6","Samsung","762.99","80","897","2024-04-28","unidad","dea93b72"
"25","Shampoo Sedal 650ml","8","Sedal","15.53","73","244","2024-12-15","mililitro","fcf5cef4"
"26","Bicicleta Montaña Aro 29","4","Aro","1175.78","9","293","2024-04-17","unidad","5b95ccbd"
"27","Casaca Hombre Pluma","3","Basement","193.41","11","771","2024-09-08","unidad","115c53c7"
"28","Aceite de Motor Mobil 4L","10","Mobil","117.31","27","945","2024-05-03","litro","72834863"
"29","Shampoo Sedal 650ml","8","Sedal","12.49","37","96","2024-05-18","mililitro","b19cd1e6"
"30","Perfume Adidas Mujer","8","Adidas","49.10","10","723","2024-05-05","unidad","ec30ae57"
"31","Muñeca Barbie Fashionista","9","Mattel","68.74","28","149","2024-09-21","unidad","2f55c74c"
