"id_promocion","descripcion","descuento"
"1","Promoción de verano","49.39"
"2","Oferta relámpago en bebidas y licores","35.88"
"3","Descuento por compra mayor a S/100","38.33"
"4","Oferta relámpago en bebidas y licores","46.40"
"5","Descuento en electrodomésticos","38.46"
"6","Rebaja en productos de limpieza","24.84"
"7","Promoción de regreso a clases","11.97"
"8","Descuento exclusivo para clientes premium","5.88"
"9","Descuento exclusivo para clientes premium","19.21"
"10","Cashback en compras con tarjeta de crédito","26.81"
"11","Rebaja en productos de limpieza","44.25"
"12","Descuento en productos de belleza y cuidado personal","9.06"
"13","Descuento en alimentos congelados","24.87"
"14","Cashback en compras con tarjeta de crédito","10.70"
"15","Descuento por compra mayor a S/100","44.20"
"16","Descuento en productos de belleza y cuidado personal","14.54"
"17","Oferta especial en tecnología","18.65"
"18","Cashback en compras con tarjeta de crédito","36.35"
"19","Oferta relámpago en bebidas y licores","20.45"
"20","Descuento en alimentos congelados","11.96"
"21","Promoción de verano","35.40"
"22","Oferta especial en tecnología","22.88"
"23","Oferta especial en tecnología","49.17"
"24","Descuento en productos de belleza y cuidado personal","41.87"
"25","Promoción exclusiva para tarjetas OH","35.80"
"26","Promoción de verano","36.75"
"27","Rebaja en productos de limpieza","20.09"
"28","Descuento exclusivo para clientes premium","9.30"
"29","Promoción exclusiva para tarjetas OH","24.36"
"30","Descuento en productos de hogar","5.95"
"31","2x1 en productos seleccionados","12.03"
"32","2x1 en productos seleccionados","25.46"
"33","Descuento en productos de hogar","12.60"
"34","Oferta especial en tecnología","40.29"
"35","Descuento por compra mayor a S/100","41.96"
"36","Descuento por primera compra","46.54"
"37","Oferta especial en tecnología","43.76"
"38","2x1 en productos seleccionados","45.54"
"39","Oferta especial en tecnología","16.69"
"40","Descuento por compra mayor a S/100","19.79"
"41","Descuento en productos de belleza y cuidado personal","24.71"
"42","Oferta relámpago en bebidas y licores","24.98"
"43","Descuento exclusivo para clientes premium","35.97"
"44","Descuento en productos de belleza y cuidado personal","44.35"
"45","2x1 en productos seleccionados","27.64"
"46","Promoción exclusiva para tarjetas OH","21.63"
"47","Promoción de verano","11.22"
"48","Descuento exclusivo para clientes premium","42.22"
"49","Oferta especial en tecnología","5.39"
"50","Descuento exclusivo para clientes premium","34.68"
"51","2x1 en productos seleccionados","23.18"
"52","Descuento por compra mayor a S/100","40.62"
"53","Oferta especial en tecnología","10.43"
"54","Cashback en compras con tarjeta de crédito","32.20"
"55","Promoción de verano","25.20"
"56","Descuento exclusivo para clientes premium","39.25"
"57","Promoción de regreso a clases","37.45"
"58","Cashback en compras con tarjeta de crédito","41.14"
"59","Descuento por compra mayor a S/100","8.77"
"60","Oferta especial en tecnología","30.68"
"61","Descuento en productos de hogar","23.69"
"62","Promoción de verano","41.95"
"63","Descuento exclusivo para clientes premium","33.38"
"64","2x1 en productos seleccionados","17.47"
"65","Descuento exclusivo para clientes premium","11.79"
"66","Rebaja en productos de limpieza","17.90"
"67","Rebaja en productos de limpieza","48.96"
"68","Descuento por primera compra","33.31"
"69","Descuento en electrodomésticos","49.14"
"70","2x1 en productos seleccionados","17.82"
"71","Promoción de verano","49.61"
"72","Descuento en productos de belleza y cuidado personal","37.65"
"73","2x1 en productos seleccionados","20.39"
"74","Descuento en productos de belleza y cuidado personal","10.82"
"75","2x1 en productos seleccionados","19.22"
"76","Descuento por compra mayor a S/100","32.73"
"77","Descuento exclusivo para clientes premium","41.72"
"78","Descuento en alimentos congelados","19.51"
"79","2x1 en productos seleccionados","15.10"
"80","Descuento por primera compra","21.30"
"81","2x1 en productos seleccionados","10.57"
"82","Descuento en alimentos congelados","20.93"
"83","Descuento por primera compra","9.14"
"84","Oferta especial en tecnología","5.70"
"85","Oferta especial en tecnología","30.05"
"86","Promoción exclusiva para tarjetas OH","39.15"
"87","Descuento por compra mayor a S/100","18.79"
"88","Cashback en compras con tarjeta de crédito","13.02"
"89","Descuento en electrodomésticos","12.28"
"90","Oferta especial en tecnología","46.54"
"91","Oferta especial en tecnología","34.37"
"92","Oferta relámpago en bebidas y licores","22.59"
"93","Descuento por compra mayor a S/100","33.79"
"94","Promoción de regreso a clases","25.44"
"95","Descuento en electrodomésticos","29.11"
"96","Descuento en productos de hogar","30.85"
"97","Oferta relámpago en bebidas y licores","32.61"
"98","Descuento por compra mayor a S/100","39.67"
"99","Descuento por compra mayor a S/100","32.85"
"100","Promoción de regreso a clases","5.38"
"101","Promoción de regreso a clases","27.66"
"102","Oferta especial en tecnología","22.57"
"103","Descuento en productos de hogar","41.37"
"104","Rebaja en productos de limpieza","43.73"
"105","Descuento exclusivo para clientes premium","6.48"
"106","Oferta relámpago en bebidas y licores","23.60"
"107","Promoción de regreso a clases","19.55"
"108","Descuento exclusivo para clientes premium","38.24"
"109","Descuento exclusivo para clientes premium","5.88"
"110","Descuento por primera compra","44.04"
"111","Promoción de regreso a clases","38.61"
"112","Cashback en compras con tarjeta de crédito","17.12"
"113","Descuento en electrodomésticos","27.01"
"114","Descuento por primera compra","19.06"
"115","Descuento en productos de belleza y cuidado personal","34.35"
"116","Rebaja en productos de limpieza","37.58"
"117","Descuento exclusivo para clientes premium","22.84"
"118","Descuento en alimentos congelados","37.26"
