id_venta;id_tiempo;id_cliente;id_producto;id_sucursal;id_empleado;id_pago;id_promocion;cantidad;subtotal;total
1;1987;11661;2953;57;12373;1;;10;1758.4;1758.4
2;1724;4758;5669;28;2116;2;;10;1665.5;1665.5
3;1149;6466;12369;17;8032;3;9018;4;602.48;542.23
4;1309;7464;5933;20;6749;4;;5;323.95;323.95
5;1726;11913;12060;44;11651;5;;6;771.12;771.12
6;1254;14840;9441;57;11960;6;;3;353.46;353.46
7;1489;14549;3206;27;4026;7;;8;781.84;781.84
8;444;3449;310;65;1866;8;;7;1306.76;1306.76
9;348;3302;102;42;2818;9;7189;1;184.71;166.24
10;1558;5028;6703;26;9716;10;;4;227.44;227.44
11;1035;12709;11291;54;11866;11;;3;470.94;470.94
12;474;2113;4474;73;8245;12;;1;49.19;49.19
13;1873;4190;1024;52;1191;13;;8;882.96;882.96
14;794;10529;916;42;7939;14;8217;10;1618.4;1456.56
15;1214;11792;11561;31;8475;15;;1;128.96;128.96
16;200;2902;872;6;4480;16;;8;92.08;92.08
17;169;10297;4659;62;6987;17;7432;10;352;316.8
18;1184;7149;3871;11;6225;18;;5;541.75;541.75
19;1194;5115;659;55;13907;19;5383;2;169.02;152.12
20;2096;6656;6036;73;5447;20;;4;727.4;727.4
21;1064;4106;6865;9;6651;21;;7;240.38;240.38
22;1322;6209;2585;59;7611;22;6180;2;140.6;126.54
23;1122;8130;2068;36;3755;23;;4;699.52;699.52
24;768;2366;6886;67;2417;24;;1;190.95;190.95
25;1985;8066;13476;49;2787;25;;5;265.75;265.75
26;481;8784;12442;32;1664;26;;5;37.4;37.4
27;1160;10237;1898;57;3597;27;;6;212.7;212.7
28;589;8083;7504;22;14643;28;10528;8;820.4;738.36
29;86;104;10458;20;9655;29;13487;8;1273.84;1146.46
30;742;13361;7988;36;4384;30;;2;108.14;108.14
31;2035;4964;5390;59;5809;31;;10;1773.6;1773.6
32;1221;11636;5764;40;5320;32;;7;860.86;860.86
33;1043;7705;7240;8;11999;33;7810;1;54.91;49.42
34;2071;4271;12873;35;10739;34;;4;294.8;294.8
35;33;1215;2275;49;13503;35;;8;916.88;916.88
36;2154;897;744;21;6687;36;;9;588.42;588.42
37;780;9923;14042;46;2663;37;;7;591.85;591.85
38;2140;7222;10118;77;9598;38;11254;8;787.76;708.98
39;2003;4038;9653;75;2385;39;13452;5;930.05;837.04
40;976;8513;2602;40;536;40;;3;92.7;92.7
41;1139;6743;7932;8;10252;41;1912;9;1791.63;1612.47
42;823;13608;1845;10;5693;42;;9;1335.96;1335.96
43;945;3172;6309;28;14733;43;;7;1159.41;1159.41
44;2095;7833;4088;30;4049;44;;6;1004.4;1004.4
45;1574;2708;3500;76;3007;45;10017;9;1324.62;1192.16
46;2029;14070;13280;3;761;46;;9;221.49;221.49
47;1339;3621;3360;53;340;47;;4;165.8;165.8
48;678;2694;2919;5;1248;48;;1;15.77;15.77
49;1416;11464;1499;19;4983;49;;4;696.8;696.8
50;696;11409;9990;62;12613;50;;3;450.66;450.66
51;763;9127;7521;56;4224;51;10609;10;65.2;58.68
52;1593;12033;6483;65;9232;52;;7;420.63;420.63
53;1695;3930;11719;65;3817;53;4127;3;599.43;539.49
54;1337;13208;14603;67;13633;54;6761;6;1015.5;913.95
55;267;1152;228;25;3930;55;;3;60.51;60.51
56;470;1205;2633;44;1353;56;;5;392.6;392.6
57;376;1089;14475;34;11612;57;;7;548.03;548.03
58;89;8917;1704;73;6567;58;5114;9;60.3;54.27
59;1463;338;11644;69;9973;59;4339;8;1188.8;1069.92
60;1550;14519;5801;22;2350;60;;8;141.04;141.04
61;2155;8554;10493;63;5732;61;;2;123.7;123.7
62;22;1047;1558;60;12910;62;;9;206.46;206.46
63;1086;8320;4609;11;5994;63;;2;334.64;334.64
64;1369;14861;14599;60;4923;64;;4;670.8;670.8
65;874;5023;10962;19;13366;65;1525;6;187.08;168.37
66;479;11093;11088;2;7384;66;;4;692.92;692.92
67;1842;9408;5285;53;10583;67;;1;134.08;134.08
68;1372;1840;920;60;5821;68;;10;1964.2;1964.2
69;1134;8542;12872;51;5348;69;;4;379.04;379.04
70;2004;3871;7849;57;511;70;;4;57.64;57.64
71;1243;3859;8230;33;2506;71;;7;1281.56;1281.56
72;974;2377;8393;74;4647;72;;2;285.34;285.34
73;1564;202;1048;33;2499;73;;1;173.37;173.37
74;1295;6849;14399;67;9541;74;;9;665.01;665.01
75;2028;2493;7298;41;7664;75;;8;924.48;924.48
76;242;2777;934;65;12364;76;;8;625.52;625.52
77;1318;14927;4988;5;2422;77;7067;5;601.25;541.12
78;1225;7144;513;4;13144;78;;7;540.26;540.26
79;739;7218;11365;22;3471;79;4880;7;1140.58;1026.52
80;1747;9576;10765;38;7300;80;;7;615.79;615.79
81;94;2372;5400;58;13350;81;;10;540.6;540.6
82;1703;6693;5516;56;11392;82;;1;67.6;67.6
83;835;3167;13070;54;2749;83;;7;998.13;998.13
84;1624;3185;9690;16;3415;84;;2;64.88;64.88
85;1791;13485;4489;50;12965;85;6684;4;439.12;395.21
86;1080;418;9219;33;3836;86;;5;341.55;341.55
87;2190;11901;2266;33;6641;87;;10;887.5;887.5
88;437;3090;1329;39;7290;88;;9;79.83;79.83
89;1807;6651;2696;50;5094;89;;10;1658.8;1658.8
90;949;6221;9533;15;7840;90;;5;735.8;735.8
91;1602;2982;3243;20;14084;91;;4;38.52;38.52
92;115;5375;874;1;10552;92;;7;499.59;499.59
93;127;13177;11211;50;6168;93;;5;331.25;331.25
94;948;13768;2345;53;8340;94;;4;215;215
95;344;9655;3351;76;1422;95;;2;109.74;109.74
96;454;11900;9034;29;7679;96;;5;46.4;46.4
97;1897;14200;11963;60;4693;97;4500;7;415.1;373.59
98;48;2002;14747;53;11392;98;;2;171.16;171.16
99;325;6355;3275;29;1034;99;;7;329.91;329.91
100;1388;14845;2875;37;8700;100;;8;1193.84;1193.84
101;988;13213;12413;74;10847;101;;5;117.15;117.15
102;1759;287;146;56;1083;102;;6;70.08;70.08
103;1846;150;817;23;9755;103;;5;271.35;271.35
104;1431;14486;5591;45;11787;104;;7;570.36;570.36
105;509;12122;11292;65;12535;105;12645;3;579.24;521.32
106;428;6233;1860;23;7298;106;;1;166.51;166.51
107;1756;2308;4287;17;13612;107;;6;984.18;984.18
108;34;2199;6554;45;4942;108;;1;130.33;130.33
109;99;5373;1972;37;4343;109;;10;1366.1;1366.1
110;558;13474;11385;11;14586;110;;9;671.13;671.13
111;1003;415;6371;71;3843;111;;8;216.8;216.8
112;1884;10841;9198;33;9403;112;;7;685.51;685.51
113;1974;3546;12740;51;4765;113;641;2;87.16;78.44
114;1987;14977;2797;3;5069;114;;4;329.56;329.56
115;950;2830;996;23;4999;115;;9;1308.06;1308.06
116;1961;5640;2569;23;7222;116;;4;348.8;348.8
117;918;10812;3405;41;3517;117;3700;6;755.46;679.91
118;2167;2951;2236;48;10576;118;8337;4;559.76;503.78
119;2050;2038;6984;3;4114;119;3820;1;162.23;146.01
120;1844;6257;3785;11;523;120;14732;1;103.11;92.8
121;645;14015;6599;18;14086;121;;8;516.96;516.96
122;1903;14923;10873;77;6467;122;;10;591.7;591.7
123;111;6843;11130;77;7539;123;;3;520.56;520.56
124;4;8978;14638;16;10860;124;;8;453.36;453.36
125;1959;2859;2806;46;7553;125;;5;529.4;529.4
126;160;14161;11442;67;13847;126;1186;8;1534.8;1381.32
